,Tm,ages,W/L%,playoffs,seed,games
0,ATL,27.085,0.524,1,7,82.000
1,BOS,28.591,0.585,1,4,82.000
2,CHI,28.061,0.695,1,2,82.000
3,CLE,28.803,0.659,1,3,82.000
4,DAL,24.865,0.134,0,13,82.000
5,DEN,24.770,0.439,0,9,82.000
6,DET,29.949,0.488,0,10,82.000
7,GSW,25.035,0.415,0,10,82.000
8,HOU,27.420,0.671,1,2,82.000
9,IND,26.827,0.500,1,9,82.000
10,LAC,26.662,0.500,1,7,82.000
11,LAL,28.023,0.476,1,8,82.000
12,MIA,25.182,0.439,0,11,82.000
13,MIL,26.882,0.341,0,12,82.000
14,MIN,25.789,0.232,0,12,82.000
15,NJN,27.295,0.524,1,6,82.000
16,NYK,28.333,0.732,1,1,82.000
17,ORL,25.764,0.500,0,8,82.000
18,PHI,27.125,0.317,0,13,82.000
19,PHO,28.196,0.756,1,1,82.000
20,POR,28.206,0.622,1,4,82.000
21,SAC,26.456,0.305,0,11,82.000
22,SAS,27.546,0.598,1,5,82.000
23,SEA,27.722,0.671,1,3,82.000
24,UTA,29.293,0.573,1,6,82.000
25,WSB,26.096,0.268,0,14,82.000
