,,Data last updated:,,,2/15/2018 5:21 PM EDT,,,,Offensive Possessions Per Game,Expected Points Per Possession,Actual Points Per Possession,Change in Points Per Possession,Created Points Over Expectation,Expected Points per Game,Actual Points per Game,CPOE Rank,CPOE %ile,Total Defensive Points Over Expectation,Expected Points Against per Game,Actual Points Against per Game,DPOE Rank,tDPOE %ile,Expected Plus Minus per Game,Actual Plus Minus per Game,Points Over Expectation,Season POE,POE Percentile,
Rank,POS,PLAYER,,,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,ΔPPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile,
1,PF,Anthony Davis,"Anthony Davis,New Orleans Pelicans",",",51,Versatile Bigs,No,New Orleans Pelicans,24.0,0.997,1.131,0.133,3.2,23.9,27.1,6,99%,-2.9,9.2,8.6,1,100%,14.7,18.5,6.1,309.2,99.8%,PF
2,SG,Jimmy Butler,"Jimmy Butler,Minnesota Timberwolves",",",54,Creators,No,Minnesota Timberwolves,20.5,0.926,1.074,0.148,3.0,19.0,22.1,8,98%,-1.8,10.4,9.8,13,97%,8.7,12.2,4.8,260.6,99.6%,SG
188,PF,DJ Wilson,"DJ Wilson,Milwaukee Bucks",",",0,Glue Guys,No,Milwaukee Bucks,Milwaukee Bucks,0.0,0.0,0.0,0.0,0.0,#DIV/0!,186,-,0.0,0.0,0.0,227,-,0.0,#DIV/0!,0.0,0.0,-,PF
188,SF,Royce O'Neale,"Royce O'Neale,Utah Jazz",",",0,Glue Guys,No,Utah Jazz,Utah Jazz,0.0,0.0,0.0,0.0,0.0,#DIV/0!,186,-,0.0,0.0,0.0,227,-,0.0,#DIV/0!,0.0,0.0,-,SF
3,PF,Giannis Antetokounmpo,"Giannis Antetokounmpo,Milwaukee Bucks",",",52,Point Forwards,No,Milwaukee Bucks,25.6,0.983,1.069,0.086,2.2,25.2,27.4,12,98%,-2.4,9.7,8.7,5,99%,15.5,18.7,4.6,237.0,99.4%,PF
8,C,Karl-Anthony Towns,"Karl-Anthony Towns,Minnesota Timberwolves",",",60,Versatile Bigs,No,Minnesota Timberwolves,17.6,0.993,1.154,0.161,2.8,17.4,20.3,9,98%,-0.9,11.9,11.9,46,90%,5.5,8.4,3.8,225.5,98.3%,C
4,SG,James Harden,"James Harden,Houston Rockets",",",50,Creators,No,Houston Rockets,29.0,0.894,1.064,0.170,4.9,25.9,30.8,1,100%,0.4,11.9,11.8,353,26%,14.0,19.0,4.5,223.7,99.2%,SG
7,SG,Victor Oladipo,"Victor Oladipo,Indiana Pacers",",",52,Distributors,No,Indiana Pacers,23.4,0.935,1.034,0.099,2.3,21.9,24.2,11,98%,-1.6,11.3,10.6,18,96%,10.6,13.6,4.0,205.7,98.5%,SG
5,PG,Stephen Curry,"Stephen Curry,Golden State Warriors",",",43,Secondary Creators,No,Golden State Warriors,22.7,0.946,1.147,0.201,4.6,21.5,26.1,2,100%,0.2,10.2,9.7,293,39%,11.3,16.4,4.3,186.3,99.0%,PG
9,PF,Kevin Durant,"Kevin Durant,Golden State Warriors",",",50,Point Forwards,No,Golden State Warriors,23.0,0.963,1.118,0.156,3.6,22.1,25.7,3,99%,0.3,9.3,9.4,320,33%,12.8,16.3,3.3,163.5,98.1%,PF
6,PG,Chris Paul,"Chris Paul,Houston Rockets",",",39,Creators,No,Houston Rockets,17.7,0.889,1.065,0.176,3.1,15.7,18.8,7,99%,-0.9,9.4,9.5,49,90%,6.3,9.3,4.0,157.5,98.8%,PG
10,PG,Damian Lillard,"Damian Lillard,Portland Trail Blazers",",",51,Rock Pounders,No,Portland Trail Blazers,24.5,0.899,1.044,0.145,3.6,22.1,25.6,4,99%,0.6,11.2,11.4,376,22%,10.8,14.2,3.0,152.3,97.9%,PG
13,C,Al Horford,"Al Horford,Boston Celtics",",",54,Versatile Bigs,No,Boston Celtics,13.2,0.972,0.996,0.024,0.3,12.9,13.2,121,75%,-2.4,13.0,12.1,4,99%,-0.1,1.1,2.7,148.1,97.3%,C
12,C,DeAndre Jordan,"DeAndre Jordan,Los Angeles Clippers",",",51,Unskilled Bigs,No,Los Angeles Clippers,10.7,1.020,1.097,0.078,0.8,10.9,11.7,63,87%,-2.0,11.9,11.6,7,99%,-1.1,0.1,2.8,144.3,97.5%,C
14,PG,Kyrie Irving,"Kyrie Irving,Boston Celtics",",",53,Secondary Creators,No,Boston Celtics,22.5,0.928,1.079,0.151,3.4,20.9,24.3,5,99%,0.7,9.8,9.7,410,15%,11.1,14.6,2.7,142.3,97.1%,PG
