Rank,POS,PLAYER,AllStar,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,_PPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile
1,PF,Anthony Davis,1,51,Versatile Bigs,No,New Orleans Pelicans,24,0.997,1.131,0.133,3.2,23.9,27.1,6,99,-2.9,9.2,8.6,1,100,14.7,18.5,6.1,309.2,99.8
2,SG,Jimmy Butler,1,54,Creators,No,Minnesota Timberwolves,20.5,0.926,1.074,0.148,3,19,22.1,8,98,-1.8,10.4,9.8,12,98,8.7,12.2,4.8,260.6,99.6
3,PF,Giannis Antetokounmpo,1,52,Point Forwards,No,Milwaukee Bucks,25.6,0.983,1.069,0.086,2.2,25.2,27.4,12,98,-2.3,9.7,8.7,5,99,15.5,18.7,4.6,237,99.4
8,C,Karl-Anthony Towns,1,60,Versatile Bigs,No,Minnesota Timberwolves,17.6,0.993,1.154,0.161,2.8,17.4,20.3,9,98,-0.9,11.9,11.9,46,90,5.5,8.4,3.8,225.5,98.3
4,SG,James Harden,1,50,Creators,No,Houston Rockets,29,0.894,1.064,0.17,4.9,25.9,30.8,1,100,0.4,11.9,11.8,353,26,14,19,4.5,223.7,99.2
7,SG,Victor Oladipo,1,52,Distributors,No,Indiana Pacers,23.4,0.935,1.034,0.099,2.3,21.9,24.2,11,98,-1.6,11.3,10.6,18,96,10.6,13.6,4,205.7,98.5
5,PG,Stephen Curry,1,43,Secondary Creators,No,Golden State Warriors,22.7,0.946,1.147,0.201,4.6,21.5,26.1,2,100,0.2,10.2,9.7,293,39,11.3,16.4,4.3,186.3,99
9,PF,Kevin Durant,1,50,Point Forwards,No,Golden State Warriors,23,0.963,1.118,0.156,3.6,22.1,25.7,3,99,0.3,9.3,9.4,320,33,12.8,16.3,3.3,163.5,98.1
6,PG,Chris Paul,0,39,Creators,No,Houston Rockets,17.7,0.889,1.065,0.176,3.1,15.7,18.8,7,99,-0.9,9.4,9.5,49,90,6.3,9.3,4,157.5,98.8
10,PG,Damian Lillard,1,51,Rock Pounders,No,Portland Trail Blazers,24.5,0.899,1.044,0.145,3.6,22.1,25.6,4,99,0.6,11.2,11.4,377,21,10.8,14.2,3,152.3,97.9
13,C,Al Horford,1,54,Versatile Bigs,No,Boston Celtics,13.2,0.972,0.996,0.024,0.3,12.9,13.2,121,75,-2.4,13,12.1,4,99,-0.1,1.1,2.7,148.1,97.3
12,C,DeAndre Jordan,0,51,Unskilled Bigs,No,Los Angeles Clippers,10.7,1.02,1.097,0.078,0.8,10.9,11.7,63,87,-2,11.9,11.6,7,99,-1.1,0.1,2.8,144.3,97.5
14,PG,Kyrie Irving,1,53,Secondary Creators,No,Boston Celtics,22.5,0.928,1.079,0.151,3.4,20.9,24.3,5,99,0.7,9.8,9.7,410,15,11.1,14.6,2.7,142.3,97.1
15,C,Clint Capela,0,52,Parasitic Bigs,No,Houston Rockets,12.4,1.075,1.164,0.089,1.1,13.4,14.5,45,91,-1.5,11.7,11.4,21,96,1.6,3.1,2.6,135.9,96.9
20,F,Jayson Tatum,0,59,Glue Guys,Yes,Boston Celtics,12.8,0.981,1.054,0.073,0.9,12.6,13.5,54,89,-1.2,7.8,7.3,35,93,4.8,6.2,2.1,125.7,95.8
18,SG,Gary Harris,0,53,Glue Guys,No,Denver Nuggets,16.3,0.971,1.058,0.087,1.4,15.8,17.2,31,94,-0.9,9.6,8.8,51,89,6.2,8.4,2.3,123.1,96.3
70,PG,Lou Williams,0,55,Distributors,No,Los Angeles Clippers,22.3,0.92,1.018,0.098,2.2,20.6,22.7,14,97,1.1,8.1,7,451,6,12.5,15.7,1.1,61.6,85.4
16,C,Joel Embiid,1,44,Versatile Bigs,No,Philadelphia 76ers,24.4,0.944,0.97,0.026,0.6,23,23.6,78,84,-1.9,15,14,9,98,8,9.6,2.6,113.6,96.7
21,PG,Kemba Walker,0,55,Rock Pounders,No,Charlotte Hornets,22.3,0.909,1.007,0.097,2.2,20.3,22.5,15,97,0.1,12.9,13.1,272,43,7.4,9.4,2.1,112.9,95.6
23,SG,Klay Thompson,1,57,Off-Ball Workers,No,Golden State Warriors,18.2,0.994,1.1,0.106,1.9,18.1,20,18,96,0,10.4,10.4,220,54,7.6,9.6,1.9,110.9,95.2
25,PF,LeBron James,1,56,Point Forwards,No,Cleveland Cavaliers,25.5,0.93,1.036,0.105,2.7,23.7,26.4,10,98,0.7,9.3,9.7,414,14,14.4,16.7,1.9,108.7,94.8
26,PG,Kyle Lowry,1,54,Secondary Creators,No,Toronto Raptors,16.4,0.943,1.006,0.063,1,15.4,16.4,50,90,-0.9,10,9.5,52,89,5.4,7,1.9,104.6,94.6
32,SF,Jrue Holiday,0,57,Secondary Creators,No,New Orleans Pelicans,18.7,0.95,0.989,0.039,0.7,17.7,18.5,72,85,-1.1,14.8,14.3,40,92,3,4.2,1.8,103.4,93.3
34,SG,DeMar DeRozan,1,57,Creators,No,Toronto Raptors,23.2,0.906,0.995,0.09,2.1,21,23.1,16,97,0.3,7.3,6.8,308,36,13.7,16.2,1.8,102.4,92.9
31,PF,Anthony Tolliver,0,54,Stretch Bigs,No,Detroit Pistons,7.1,1,1.15,0.15,1.1,7.1,8.1,47,90,-0.8,7,6.1,67,86,0,2,1.8,98.3,93.5
27,SF,Otto Porter Jr.,0,53,Reluctant Shooters,No,Washington Wizards,13.2,0.994,1.096,0.102,1.3,13.1,14.4,34,93,-0.6,8.2,9,94,80,4.9,5.4,1.9,100.1,94.4
38,PF,Dwight Powell,0,57,Parasitic Bigs,No,Dallas Mavericks,6.7,1.065,1.181,0.116,0.8,7.1,7.9,67,86,-1,8.4,7.5,43,91,-1.3,0.4,1.8,99.9,92.1
37,SF,Paul George,0,56,Secondary Creators,No,Oklahoma City Thunder,21.8,0.95,1.025,0.074,1.6,20.7,22.3,21,96,-0.1,10.5,10.8,186,61,10.2,11.5,1.8,98.1,92.3
35,C,Steven Adams,0,54,Unskilled Bigs,No,Oklahoma City Thunder,12.6,1.06,1.102,0.041,0.5,13.3,13.9,93,81,-1.3,12.9,12.1,29,94,0.5,1.8,1.8,96,92.7
11,C,Rudy Gobert,0,32,Unskilled Bigs,No,Utah Jazz,11.7,1.048,1.064,0.016,0.2,12.3,12.5,146,70,-2.7,15.9,15.3,2,100,-3.6,-2.8,2.9,93.2,97.7
40,C,LaMarcus Aldridge,1,54,Post-Up Bigs,No,San Antonio Spurs,21.2,0.973,1.04,0.067,1.4,20.7,22.1,29,94,-0.3,14,13.6,138,71,6.6,8.5,1.7,92.7,91.7
36,PF,Trey Lyles,0,52,Pick and Pop Bigs,No,Denver Nuggets,10,0.992,1.104,0.112,1.1,9.9,11,43,91,-0.7,6,5.6,82,83,3.9,5.4,1.8,92,92.5
43,SG,Kyle Korver,0,56,Off-Ball Workers,No,Cleveland Cavaliers,7.7,0.975,1.169,0.194,1.5,7.5,9,26,95,-0.1,6.5,6.3,182,62,1,2.8,1.6,91.7,91
33,C,Montrezl Harrell,0,50,Post-Up Bigs,No,Los Angeles Clippers,7.8,1.03,1.161,0.131,1,8.1,9.1,49,90,-0.8,5.6,5.8,65,86,2.4,3.3,1.8,90.3,93.1
29,C,Kevin Love,1,48,Versatile Bigs,No,Cleveland Cavaliers,16,0.993,1.099,0.106,1.7,15.9,17.6,19,96,-0.1,9.8,10.4,185,61,6.1,7.2,1.8,88,94
30,SG,Tyreke Evans,0,48,Creators,No,Memphis Grizzlies,19.4,0.924,0.992,0.068,1.3,17.9,19.3,35,93,-0.5,7.4,6.7,103,79,10.5,12.5,1.8,87.5,93.8
19,C,Hassan Whiteside,0,39,Post-Up Bigs,No,Miami Heat,13.7,1.009,1.032,0.023,0.3,13.8,14.1,120,75,-1.9,11.4,11.6,11,98,2.4,2.5,2.2,85.9,96
48,SG,Bradley Beal,1,57,Secondary Creators,No,Washington Wizards,22.9,0.938,1.006,0.068,1.6,21.5,23.1,22,95,0.1,10.2,10.2,259,46,11.3,12.9,1.5,85.2,90
51,C,Jakob Poeltl,0,57,Unskilled Bigs,No,Toronto Raptors,6.2,1.076,1.111,0.035,0.2,6.6,6.8,142,70,-1.2,7.8,7.8,31,94,-1.1,-1,1.5,82.7,89.4
53,PF,Davis Bertans,0,55,Stretch Bigs,No,San Antonio Spurs,5.8,1.004,1.09,0.086,0.5,5.9,6.4,95,80,-0.9,4.9,4,47,90,1,2.4,1.4,78.8,89
44,PF,Kristaps Porzingis,1,49,Versatile Bigs,No,New York Knicks,22.5,0.969,0.981,0.012,0.3,21.8,22.1,131,73,-1.3,12.1,12.2,25,95,9.7,9.9,1.6,78.4,90.8
47,PG,Darren Collison,0,52,Distributors,No,Indiana Pacers,11.7,0.946,1.077,0.132,1.5,11.1,12.6,25,95,0,9.3,9.1,247,49,1.8,3.5,1.5,78.3,90.2
49,PF,Marvin Williams,0,53,Stretch Bigs,No,Charlotte Hornets,8.4,1.022,1.124,0.102,0.9,8.5,9.4,61,87,-0.6,8.6,7.7,87,82,0,1.7,1.5,77.7,89.8
54,C,David West,0,54,Versatile Bigs,No,Golden State Warriors,6.6,1.002,1.079,0.076,0.5,6.6,7.1,94,80,-0.9,6.5,6.7,48,90,0.2,0.4,1.4,77.3,88.8
62,PF,Joe Ingles,0,58,Glue Guys,No,Utah Jazz,10.4,0.955,1.043,0.088,0.9,10,10.9,57,88,-0.4,9.4,9.3,127,74,0.5,1.6,1.3,73.6,87.1
60,SG,Jeremy Lamb,0,56,Distributors,No,Charlotte Hornets,13.4,0.94,0.997,0.057,0.8,12.6,13.3,68,86,-0.5,8.4,7.6,97,80,4.1,5.8,1.3,73.1,87.5
55,SF,Kyle Anderson,0,51,Reluctant Shooters,No,San Antonio Spurs,8.6,0.979,0.948,-0.032,-0.3,8.4,8.2,261,46,-1.7,7.6,6.8,17,96,0.8,1.3,1.4,72.6,88.5
64,SF,Josh Richardson,0,58,Glue Guys,No,Miami Heat,13.7,0.946,0.97,0.024,0.3,12.9,13.2,118,75,-0.9,11.1,10.6,56,88,1.8,2.6,1.2,70.1,86.7
50,C,DeMarcus Cousins,1,48,Versatile Bigs,No,New Orleans Pelicans,26.6,0.956,0.939,-0.018,-0.5,25.4,25,312,35,-1.9,15.4,15,10,98,10.1,10,1.5,69.9,89.6
41,SG,Andre Roberson,0,39,Bigs-with-Touch,No,Oklahoma City Thunder,5.4,1.067,0.928,-0.139,-0.7,5.7,5,378,21,-2.4,9.5,8.5,3,99,-3.8,-3.5,1.7,66.5,91.5
68,PF,Darius Miller,0,57,Spot-Up Wings,No,New Orleans Pelicans,6.9,0.971,1.173,0.201,1.4,6.7,8.1,33,93,0.3,6.3,5.9,300,38,0.4,2.2,1.1,64.4,85.8
