Player,Age,Tm,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,W/L%,playoffs,seed,Share,Rank,got_votes,is_mvp,gp_pct
Stephen Curry,27,GSW,34.2,5.4,6.7,2.1,0.2,30.1,20.2,0.5,11.2,0.5,0.6,0.9,3.3,2.0,31.5,0.7,32.6,9.8,17.9,8.6,33.7,3.0,0.4,12.9,0.3,12.5,2016,14.4,0.9,1,1,1.0,1.0,1,1,1.0
LeBron James,28,MIA,37.9,8.0,7.3,1.7,0.9,26.8,17.8,0.6,3.3,0.4,0.6,0.8,3.0,1.4,31.6,0.6,30.2,9.8,19.3,13.1,36.4,2.4,1.9,12.4,0.3,11.6,2013,17.9,0.8,1,1,1.0,1.0,1,1,0.9
Shaquille O'Neal,27,LAL,40.0,13.6,3.8,0.5,3.0,29.7,21.1,0.6,0.0,0.0,0.6,0.5,2.8,3.2,30.6,0.6,31.2,9.3,18.6,18.3,19.3,0.6,5.3,9.9,0.3,9.7,2000,20.9,0.8,1,1,1.0,1.0,1,1,1.0
Kevin Garnett,27,MIN,39.4,13.9,5.0,1.5,2.2,24.2,19.6,0.5,0.5,0.3,0.5,0.8,2.6,2.5,29.4,0.5,29.6,9.8,18.3,20.1,24.4,2.0,4.0,10.5,0.3,9.9,2004,22.6,0.7,1,1,1.0,1.0,1,1,1.0
Michael Jordan,32,CHI,37.7,6.6,4.3,2.2,0.5,30.4,22.6,0.5,3.2,0.4,0.5,0.8,2.4,2.4,29.4,0.6,33.3,8.3,20.4,10.2,21.2,3.1,1.0,8.4,0.3,8.6,1996,13.6,0.9,1,1,1.0,1.0,1,1,1.0
Kevin Durant,25,OKC,38.5,7.4,5.5,1.3,0.7,32.0,20.8,0.5,6.1,0.4,0.6,0.9,3.5,2.1,29.8,0.6,33.0,8.5,19.2,10.8,26.7,1.7,1.5,12.2,0.3,8.8,2014,14.9,0.7,1,2,1.0,1.0,1,1,1.0
LeBron James,25,CLE,39.0,7.3,8.6,1.6,1.0,29.7,20.1,0.5,5.1,0.3,0.5,0.8,3.4,1.6,31.1,0.6,33.5,10.9,18.5,11.1,41.8,2.2,2.0,12.3,0.3,12.5,2010,18.5,0.7,1,1,1.0,1.0,1,1,0.9
Derrick Rose,22,CHI,37.4,4.1,7.7,1.0,0.6,25.0,19.7,0.4,4.8,0.3,0.5,0.9,3.4,1.7,23.5,0.6,32.2,6.0,13.1,6.4,38.7,1.5,1.3,13.1,0.2,5.9,2011,13.4,0.8,1,1,1.0,1.0,1,1,1.0
LeBron James,24,CLE,37.7,7.6,7.2,1.7,1.1,28.4,19.9,0.5,4.7,0.3,0.5,0.8,3.0,1.7,31.7,0.6,33.8,11.6,20.3,11.9,38.0,2.4,2.4,11.0,0.3,13.0,2009,17.6,0.8,1,1,1.0,1.0,1,1,1.0
James Harden,28,HOU,35.4,5.4,8.8,1.8,0.7,30.4,20.1,0.4,10.0,0.4,0.5,0.9,4.4,2.3,29.8,0.6,36.1,8.3,15.4,8.6,45.1,2.4,1.7,15.1,0.3,10.9,2018,16.7,0.8,1,1,1.0,1.0,1,1,0.9
Michael Jordan,28,CHI,38.8,6.4,6.1,2.3,0.9,30.1,22.7,0.5,1.3,0.3,0.5,0.8,2.5,2.5,27.7,0.6,31.7,8.3,17.7,9.5,25.7,3.0,1.5,8.8,0.3,8.6,1992,15.7,0.8,1,1,0.9,1.0,1,1,1.0
Michael Jordan,34,CHI,38.8,5.8,3.5,1.7,0.5,28.7,23.1,0.5,1.5,0.2,0.5,0.8,2.3,1.8,25.2,0.5,33.7,5.3,15.8,8.5,18.0,2.4,1.0,7.7,0.2,4.6,1998,11.5,0.8,1,1,0.9,1.0,1,1,1.0
Michael Jordan,27,CHI,37.0,6.0,5.5,2.7,1.0,31.5,22.4,0.5,1.1,0.3,0.5,0.9,2.5,2.8,31.6,0.6,32.9,9.8,20.3,9.5,25.2,3.7,1.7,8.7,0.3,10.8,1991,15.2,0.7,1,1,0.9,1.0,1,1,1.0
