Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Toronto Raptors* (1),59,23,.720,—,111.7,103.9,7.29
Boston Celtics* (2),55,27,.671,4.0,104.0,100.4,3.23
Philadelphia 76ers* (3),52,30,.634,7.0,109.8,105.3,4.30
Cleveland Cavaliers* (4),50,32,.610,9.0,110.9,109.9,0.59
Indiana Pacers* (5),48,34,.585,11.0,105.6,104.2,1.18
Miami Heat* (6),44,38,.537,15.0,103.4,102.9,0.15
Milwaukee Bucks* (7),44,38,.537,15.0,106.5,106.8,-0.45
Washington Wizards* (8),43,39,.524,16.0,106.6,106.0,0.53
Detroit Pistons (9),39,43,.476,20.0,103.8,103.9,-0.26
Charlotte Hornets (10),36,46,.439,23.0,108.2,108.0,0.07
New York Knicks (11),29,53,.354,30.0,104.5,108.0,-3.53
Brooklyn Nets (12),28,54,.341,31.0,106.6,110.3,-3.67
Chicago Bulls (13),27,55,.329,32.0,102.9,110.0,-6.84
Orlando Magic (14),25,57,.305,34.0,103.4,108.2,-4.92
Atlanta Hawks (15),24,58,.293,35.0,103.4,108.8,-5.30
