Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
New York Knicks* (2),57,25,.695,—,98.5,91.5,6.48
Orlando Magic* (4),50,32,.610,7.0,105.7,101.8,3.68
New Jersey Nets* (7),45,37,.549,12.0,103.2,101.0,2.11
Miami Heat* (8),42,40,.512,15.0,103.4,100.7,2.40
Boston Celtics (10),32,50,.390,25.0,100.8,105.1,-4.28
Philadelphia 76ers (11),25,57,.305,32.0,98.0,105.6,-7.37
Washington Bullets (12),24,58,.293,33.0,100.4,107.7,-7.13
Central Division
Atlanta Hawks* (1),57,25,.695,—,101.4,96.2,4.94
Chicago Bulls* (3),55,27,.671,2.0,98.0,94.9,2.87
Indiana Pacers* (5),47,35,.573,10.0,101.0,97.5,3.26
Cleveland Cavaliers* (6),47,35,.573,10.0,101.2,97.1,3.64
Charlotte Hornets (9),41,41,.500,16.0,106.5,106.7,-0.23
Milwaukee Bucks (13),20,62,.244,37.0,96.9,103.4,-6.24
Detroit Pistons (14),20,62,.244,37.0,96.9,104.7,-7.46
