Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Seattle SuperSonics* (3),52,30,.634,—,98.9,96.6,2.59
Denver Nuggets* (7),49,33,.598,3.0,99.5,97.5,2.23
Minnesota Timberwolves (9),44,38,.537,8.0,96.8,95.3,1.73
Portland Trail Blazers (13),27,55,.329,25.0,92.9,96.9,-3.45
Utah Jazz (14),26,56,.317,26.0,93.0,97.3,-3.74
Pacific Division
Phoenix Suns* (1),62,20,.756,—,110.4,103.3,7.08
Sacramento Kings* (6),50,32,.610,12.0,103.7,101.6,2.56
Los Angeles Clippers (10),37,45,.451,25.0,95.7,96.5,-0.47
Los Angeles Lakers (11),34,48,.415,28.0,98.7,101.7,-2.32
Golden State Warriors (12),34,48,.415,28.0,98.7,100.9,-1.74
Southwest Division
San Antonio Spurs* (2),59,23,.720,—,96.2,88.4,7.84
Dallas Mavericks* (4),58,24,.707,1.0,102.5,96.8,5.86
Houston Rockets* (5),51,31,.622,8.0,95.1,91.0,4.27
Memphis Grizzlies* (8),45,37,.549,14.0,93.4,91.1,2.64
New Orleans Hornets (15),18,64,.220,41.0,88.4,95.5,-6.30
