,Player,Tm,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Prob%,Rank,Share
1,Giannis Antetokounmpo,MIL,50,17,0.746,62,62,33.0,9.9,17.1,0.58,0.6,2.5,0.248,9.3,14.6,0.637,0.598,6.6,9.2,0.715,2.3,10.3,12.6,6.0,1.3,1.4,3.8,3.3,27.0,52.4,1,0.903448275862069
2,James Harden,HOU,42,25,0.627,63,63,37.3,10.7,24.6,0.436,4.8,13.4,0.359,5.9,11.2,0.528,0.534,9.9,11.3,0.879,0.9,5.6,6.5,7.5,2.1,0.7,5.2,3.3,36.2,20.5,2,0.35344827586206895
3,Nikola Jokic,DEN,43,22,0.662,64,64,31.5,7.6,15.1,0.505,1.1,3.4,0.324,6.5,11.6,0.5579999999999999,0.542,4.1,4.9,0.836,2.9,7.8,10.8,7.6,1.4,0.6,3.2,2.9,20.4,6.1,3,0.10517241379310344
4,Kawhi Leonard,TOR,48,20,0.706,49,49,34.3,9.5,19.0,0.499,1.7,4.9,0.354,7.7,14.1,0.5489999999999999,0.545,6.4,7.4,0.86,1.3,6.1,7.3,3.2,1.8,0.4,2.0,1.4,27.0,4.3,4,0.07413793103448275
5,Kevin Durant,GSW,45,21,0.682,65,65,35.4,9.6,18.8,0.513,1.9,5.2,0.359,7.8,13.6,0.5710000000000001,0.562,6.3,7.1,0.8809999999999999,0.5,6.2,6.7,5.7,0.8,1.2,3.0,2.0,27.4,3.8,5,0.06551724137931034
6,Joel Embiid,PHI,42,25,0.627,55,55,33.6,9.0,18.6,0.483,1.2,4.0,0.292,7.8,14.6,0.535,0.514,8.3,10.2,0.809,2.5,11.0,13.5,3.4,0.6,1.9,3.6,3.4,27.4,3.3,6,0.05689655172413793
7,Paul George,OKC,41,26,0.612,63,63,36.6,9.2,20.9,0.44,3.7,9.7,0.38799999999999996,5.4,11.2,0.485,0.53,6.0,7.2,0.8390000000000001,1.4,6.8,8.2,4.2,2.3,0.4,2.7,2.8,28.2,3.2,7,0.055172413793103454
8,Stephen Curry,GSW,45,21,0.682,55,55,34.4,9.4,19.8,0.475,5.1,11.9,0.43,4.3,7.9,0.5429999999999999,0.604,4.0,4.4,0.917,0.6,4.7,5.3,5.2,1.3,0.4,2.9,2.5,27.9,2.4,8,0.041379310344827586
9,Anthony Davis,NOP,30,39,0.435,52,52,33.9,9.6,18.7,0.514,0.9,2.6,0.336,8.8,16.1,0.544,0.5379999999999999,6.5,8.1,0.7959999999999999,3.1,9.1,12.2,4.0,1.6,2.5,2.0,2.5,26.6,2.2,9,0.03793103448275863
10,Russell Westbrook,OKC,41,26,0.612,59,59,35.8,8.7,20.3,0.428,1.5,5.4,0.284,7.2,14.9,0.48100000000000004,0.466,4.2,6.5,0.65,1.4,9.6,11.1,10.5,2.0,0.5,4.6,3.5,23.1,1.8,10,0.03103448275862069
