Rk,Player,Tm,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Prob%
1,Giannis Antetokounmpo,MIL,50,17,.746,62,62,33.0,9.9,17.1,.580,0.6,2.5,.248,9.3,14.6,.637,.598,6.6,9.2,.715,2.3,10.3,12.6,6.0,1.3,1.4,3.8,3.3,27.0,52.4%
2,James Harden,HOU,41,25,.621,62,62,37.3,10.8,24.7,.437,4.8,13.5,.359,6.0,11.2,.531,.535,9.9,11.2,.878,0.9,5.6,6.5,7.5,2.1,0.7,5.2,3.3,36.3,19.8%
3,Nikola Jokic,DEN,43,22,.662,64,64,31.5,7.6,15.1,.505,1.1,3.4,.324,6.5,11.6,.558,.542,4.1,4.9,.836,2.9,7.8,10.8,7.6,1.4,0.6,3.2,2.9,20.4,6.1%
4,Kawhi Leonard,TOR,48,19,.716,48,48,34.4,9.4,19.0,.497,1.7,4.8,.353,7.7,14.1,.546,.542,6.5,7.5,.867,1.3,6.0,7.3,3.3,1.9,0.4,2.0,1.4,27.1,5.0%
5,Kevin Durant,GSW,45,21,.682,65,65,35.4,9.6,18.8,.513,1.9,5.2,.359,7.8,13.6,.571,.562,6.3,7.1,.881,0.5,6.2,6.7,5.7,0.8,1.2,3.0,2.0,27.4,3.8%
6,Joel Embiid,PHI,42,25,.627,55,55,33.6,9.0,18.6,.483,1.2,4.0,.292,7.8,14.6,.535,.514,8.3,10.2,.809,2.5,11.0,13.5,3.4,0.6,1.9,3.6,3.4,27.4,3.3%
7,Paul George,OKC,40,26,.606,62,62,36.6,9.3,21.1,.441,3.8,9.8,.390,5.5,11.3,.486,.532,6.0,7.1,.839,1.4,6.7,8.1,4.2,2.2,0.4,2.6,2.8,28.4,3.2%
8,Stephen Curry,GSW,45,21,.682,55,55,34.4,9.4,19.8,.475,5.1,11.9,.430,4.3,7.9,.543,.604,4.0,4.4,.917,0.6,4.7,5.3,5.2,1.3,0.4,2.9,2.5,27.9,2.4%
9,Anthony Davis,NOP,30,39,.435,52,52,33.9,9.6,18.7,.514,0.9,2.6,.336,8.8,16.1,.544,.538,6.5,8.1,.796,3.1,9.1,12.2,4.0,1.6,2.5,2.0,2.5,26.6,2.3%
10,Damian Lillard,POR,40,26,.606,65,65,35.4,8.6,19.2,.449,2.9,7.8,.367,5.7,11.4,.505,.523,6.1,6.7,.910,0.8,3.7,4.6,6.4,1.1,0.5,2.7,1.9,26.1,1.7%
