player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
James Harden,44.0,7.0,39.0,10.0,0.0,12.0,54.0,51.0,7.0
LeBron James,39.0,22.0,49.0,24.0,12.0,27.0,63.0,76.0,34.0
LaMarcus Aldridge,38.0,18.0,5.0,20.0,14.0,0.0,58.0,5.0,32.0
DeMar DeRozan,36.0,0.0,16.0,11.0,1.0,7.0,47.0,23.0,1.0
Anthony Davis,32.0,24.0,1.0,16.0,14.0,0.0,48.0,1.0,38.0
Kyrie Irving,29.0,1.0,17.0,12.0,0.0,7.0,41.0,24.0,1.0
Giannis Antetokounmpo,28.0,29.0,12.0,23.0,27.0,12.0,51.0,24.0,56.0
Damian Lillard,28.0,1.0,38.0,22.0,2.0,23.0,50.0,61.0,3.0
Victor Oladipo,28.0,1.0,15.0,16.0,0.0,11.0,44.0,26.0,1.0
Kevin Durant,26.0,14.0,13.0,12.0,3.0,3.0,38.0,16.0,17.0
Russell Westbrook,24.0,25.0,46.0,22.0,15.0,30.0,46.0,76.0,40.0
Bradley Beal,24.0,2.0,9.0,21.0,2.0,6.0,45.0,15.0,4.0
Donovan Mitchell,23.0,0.0,7.0,19.0,1.0,6.0,42.0,13.0,1.0
Joel Embiid,21.0,25.0,3.0,10.0,13.0,0.0,31.0,3.0,38.0
Stephen Curry,21.0,8.0,14.0,2.0,0.0,4.0,23.0,18.0,8.0
Karl-Anthony Towns,19.0,41.0,1.0,12.0,28.0,0.0,31.0,1.0,69.0
Kemba Walker,18.0,1.0,18.0,25.0,1.0,25.0,43.0,43.0,2.0
Lou Williams,18.0,0.0,23.0,14.0,1.0,18.0,32.0,41.0,1.0
CJ McCollum,18.0,0.0,7.0,6.0,0.0,4.0,24.0,11.0,0.0
Blake Griffin,16.0,3.0,15.0,14.0,4.0,13.0,30.0,28.0,7.0
Paul George,16.0,1.0,2.0,8.0,3.0,3.0,24.0,5.0,4.0
Jimmy Butler,15.0,0.0,10.0,10.0,1.0,9.0,25.0,19.0,1.0
Jamal Murray,14.0,1.0,5.0,4.0,1.0,5.0,18.0,10.0,2.0
Tobias Harris,14.0,1.0,1.0,18.0,0.0,3.0,32.0,4.0,1.0
Dennis Schroder,14.0,0.0,15.0,18.0,1.0,30.0,32.0,45.0,1.0
Harrison Barnes,13.0,9.0,1.0,25.0,15.0,1.0,38.0,2.0,24.0
Kristaps Porzingis,13.0,5.0,0.0,10.0,2.0,0.0,23.0,0.0,7.0
Dwight Howard,11.0,28.0,1.0,10.0,37.0,0.0,21.0,1.0,65.0
Goran Dragic,11.0,1.0,18.0,14.0,0.0,13.0,25.0,31.0,1.0
Nikola Jokic,10.0,32.0,29.0,11.0,17.0,13.0,21.0,42.0,49.0
Chris Paul,10.0,3.0,25.0,3.0,0.0,4.0,13.0,29.0,3.0
Devin Booker,10.0,1.0,4.0,20.0,2.0,18.0,30.0,22.0,3.0
Klay Thompson,10.0,0.0,1.0,4.0,1.0,0.0,14.0,1.0,1.0
Kevin Love,9.0,19.0,0.0,4.0,12.0,0.0,13.0,0.0,31.0
Lauri Markkanen,9.0,8.0,0.0,7.0,12.0,0.0,16.0,0.0,20.0
Ricky Rubio,9.0,3.0,18.0,1.0,0.0,14.0,10.0,32.0,3.0
Khris Middleton,9.0,3.0,9.0,10.0,2.0,7.0,19.0,16.0,5.0
Bojan Bogdanovic,9.0,0.0,0.0,2.0,1.0,0.0,11.0,0.0,1.0
Gary Harris,9.0,0.0,0.0,8.0,0.0,2.0,17.0,2.0,0.0
Andre Drummond,8.0,36.0,6.0,6.0,41.0,7.0,14.0,13.0,77.0
Ben Simmons,8.0,14.0,38.0,3.0,7.0,26.0,11.0,64.0,21.0
Kyle Lowry,8.0,12.0,34.0,7.0,2.0,12.0,15.0,46.0,14.0
Julius Randle,8.0,11.0,1.0,12.0,19.0,5.0,20.0,6.0,30.0
Jaylen Brown,8.0,4.0,0.0,4.0,1.0,1.0,12.0,1.0,5.0
Tyreke Evans,8.0,2.0,9.0,17.0,4.0,14.0,25.0,23.0,6.0
J.J. Redick,8.0,0.0,1.0,6.0,0.0,0.0,14.0,1.0,0.0
DeMarcus Cousins,7.0,16.0,10.0,8.0,16.0,4.0,15.0,14.0,32.0
Otto Porter,7.0,11.0,2.0,7.0,8.0,0.0,14.0,2.0,19.0
Dario Saric,7.0,2.0,0.0,7.0,8.0,1.0,14.0,1.0,10.0
Brandon Ingram,7.0,1.0,10.0,8.0,2.0,4.0,15.0,14.0,3.0
T.J. Warren,7.0,1.0,1.0,16.0,2.0,2.0,23.0,3.0,3.0
Evan Fournier,7.0,1.0,0.0,6.0,0.0,4.0,13.0,4.0,1.0
Josh Richardson,7.0,0.0,3.0,4.0,0.0,2.0,11.0,5.0,0.0
Eric Gordon,7.0,0.0,1.0,2.0,0.0,0.0,9.0,1.0,0.0
Andrew Wiggins,7.0,0.0,0.0,9.0,0.0,1.0,16.0,1.0,0.0
Rudy Gobert,6.0,26.0,1.0,3.0,15.0,0.0,9.0,1.0,41.0
Hassan Whiteside,6.0,23.0,0.0,4.0,14.0,0.0,10.0,0.0,37.0
Zach Randolph,6.0,7.0,3.0,10.0,12.0,3.0,16.0,6.0,19.0
Aaron Gordon,6.0,7.0,0.0,14.0,11.0,1.0,20.0,1.0,18.0
Kyle Kuzma,6.0,5.0,0.0,10.0,5.0,2.0,16.0,2.0,10.0
Spencer Dinwiddie,6.0,2.0,11.0,10.0,2.0,32.0,16.0,43.0,4.0
Will Barton,6.0,2.0,7.0,7.0,1.0,7.0,13.0,14.0,3.0
Allen Crabbe,6.0,1.0,0.0,8.0,1.0,1.0,14.0,1.0,2.0
John Wall,6.0,0.0,20.0,5.0,2.0,17.0,11.0,37.0,2.0
Tim Hardaway,6.0,0.0,2.0,12.0,2.0,2.0,18.0,4.0,2.0
Wayne Ellington,6.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0
Jonas Valanciunas,5.0,31.0,0.0,3.0,7.0,0.0,8.0,0.0,38.0
Nikola Mirotic,5.0,9.0,0.0,3.0,4.0,0.0,8.0,0.0,13.0
Willie Cauley-Stein,5.0,8.0,3.0,9.0,22.0,3.0,14.0,6.0,30.0
Marc Gasol,5.0,7.0,7.0,18.0,27.0,15.0,23.0,22.0,34.0
Kelly Olynyk,5.0,7.0,7.0,2.0,8.0,3.0,7.0,10.0,15.0
Eric Bledsoe,5.0,1.0,16.0,5.0,3.0,15.0,10.0,31.0,4.0
Brook Lopez,5.0,1.0,1.0,4.0,1.0,0.0,9.0,1.0,2.0
Tyler Johnson,5.0,1.0,0.0,4.0,0.0,1.0,9.0,1.0,1.0
Reggie Jackson,5.0,0.0,15.0,5.0,0.0,7.0,10.0,22.0,0.0
Jrue Holiday,5.0,0.0,15.0,8.0,0.0,13.0,13.0,28.0,0.0
Buddy Hield,5.0,0.0,3.0,10.0,4.0,3.0,15.0,6.0,4.0
Al Horford,4.0,20.0,17.0,1.0,9.0,8.0,5.0,25.0,29.0
Rondae Hollis-Jefferson,4.0,7.0,1.0,5.0,14.0,0.0,9.0,1.0,21.0
DeMarre Carroll,4.0,6.0,1.0,6.0,13.0,0.0,10.0,1.0,19.0
Taurean Waller-Prince,4.0,5.0,3.0,15.0,5.0,4.0,19.0,7.0,10.0
Robert Covington,4.0,2.0,0.0,4.0,1.0,1.0,8.0,1.0,3.0
Dennis Smith,4.0,1.0,7.0,10.0,1.0,19.0,14.0,26.0,2.0
Carmelo Anthony,4.0,1.0,0.0,3.0,2.0,0.0,7.0,0.0,3.0
Fred VanVleet,4.0,0.0,6.0,0.0,0.0,2.0,4.0,8.0,0.0
Jordan Clarkson,4.0,0.0,3.0,4.0,1.0,5.0,8.0,8.0,1.0
Rodney Hood,4.0,0.0,0.0,8.0,0.0,1.0,12.0,1.0,0.0
DeAndre Jordan,3.0,37.0,0.0,3.0,34.0,0.0,6.0,0.0,71.0
Domantas Sabonis,3.0,16.0,2.0,1.0,11.0,0.0,4.0,2.0,27.0
Thaddeus Young,3.0,10.0,2.0,2.0,7.0,0.0,5.0,2.0,17.0
Ersan Ilyasova,3.0,9.0,0.0,2.0,5.0,0.0,5.0,0.0,14.0
Markieff Morris,3.0,7.0,0.0,1.0,4.0,1.0,4.0,1.0,11.0
Nikola Vucevic,3.0,6.0,2.0,11.0,25.0,3.0,14.0,5.0,31.0
Marcus Morris,3.0,6.0,0.0,4.0,2.0,1.0,7.0,1.0,8.0
Bobby Portis,3.0,3.0,0.0,9.0,14.0,0.0,12.0,0.0,17.0
D'Angelo Russell,3.0,2.0,8.0,11.0,2.0,12.0,14.0,20.0,4.0
Terry Rozier,3.0,2.0,5.0,2.0,4.0,6.0,5.0,11.0,6.0
Justin Holiday,3.0,2.0,0.0,5.0,2.0,0.0,8.0,0.0,4.0
Dirk Nowitzki,3.0,2.0,0.0,4.0,11.0,1.0,7.0,1.0,13.0
Kris Dunn,3.0,1.0,14.0,4.0,1.0,17.0,7.0,31.0,2.0
Paul Millsap,3.0,1.0,2.0,1.0,2.0,0.0,4.0,2.0,3.0
Dillon Brooks,3.0,1.0,0.0,5.0,0.0,2.0,8.0,2.0,1.0
Jeff Teague,3.0,0.0,29.0,2.0,1.0,17.0,5.0,46.0,1.0
Darren Collison,3.0,0.0,21.0,4.0,0.0,14.0,7.0,35.0,0.0
Austin Rivers,3.0,0.0,4.0,6.0,0.0,4.0,9.0,8.0,0.0
Bogdan Bogdanovic,3.0,0.0,3.0,9.0,0.0,10.0,12.0,13.0,0.0
George Hill,3.0,0.0,2.0,3.0,0.0,3.0,6.0,5.0,0.0
Kent Bazemore,3.0,0.0,2.0,9.0,0.0,6.0,12.0,8.0,0.0
Frank Kaminsky,3.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0
Jonathon Simmons,3.0,0.0,1.0,9.0,1.0,2.0,12.0,3.0,1.0
Jusuf Nurkic,2.0,21.0,1.0,3.0,12.0,0.0,5.0,1.0,33.0
Steven Adams,2.0,17.0,0.0,1.0,13.0,0.0,3.0,0.0,30.0
Enes Kanter,2.0,16.0,1.0,8.0,31.0,2.0,10.0,3.0,47.0
Derrick Favors,2.0,16.0,0.0,1.0,10.0,1.0,3.0,1.0,26.0
Myles Turner,2.0,11.0,1.0,4.0,5.0,0.0,6.0,1.0,16.0
Aron Baynes,2.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0
Serge Ibaka,2.0,7.0,0.0,0.0,4.0,0.0,2.0,0.0,11.0
Taj Gibson,2.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0
James Johnson,2.0,4.0,13.0,4.0,4.0,9.0,6.0,22.0,8.0
Nicolas Batum,2.0,3.0,11.0,2.0,1.0,16.0,4.0,27.0,4.0
Kenneth Faried,2.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0
Jayson Tatum,2.0,3.0,0.0,2.0,4.0,1.0,4.0,1.0,7.0
Elfrid Payton,2.0,2.0,8.0,6.0,4.0,29.0,8.0,37.0,6.0
Kawhi Leonard,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0
Michael Beasley,2.0,2.0,0.0,16.0,8.0,1.0,18.0,1.0,10.0
Kentavious Caldwell-Pope,2.0,2.0,0.0,6.0,4.0,2.0,8.0,2.0,6.0
J.J. Barea,2.0,1.0,14.0,3.0,1.0,21.0,5.0,35.0,2.0
Garrett Temple,2.0,1.0,2.0,3.0,0.0,2.0,5.0,4.0,1.0
Mario Hezonja,2.0,1.0,1.0,5.0,1.0,1.0,7.0,2.0,2.0
Robin Lopez,2.0,1.0,0.0,5.0,1.0,0.0,7.0,0.0,2.0
Mike Scott,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Zach LaVine,2.0,1.0,0.0,5.0,0.0,2.0,7.0,2.0,1.0
Ish Smith,2.0,0.0,8.0,1.0,0.0,12.0,3.0,20.0,0.0
Caris LeVert,2.0,0.0,5.0,3.0,2.0,8.0,5.0,13.0,2.0
Mike Conley,2.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0
Courtney Lee,2.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0
Isaiah Thomas,2.0,0.0,3.0,1.0,0.0,2.0,3.0,5.0,0.0
Trey Burke,2.0,0.0,3.0,2.0,0.0,11.0,4.0,14.0,0.0
Stanley Johnson,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
Josh Jackson,2.0,0.0,2.0,8.0,5.0,1.0,10.0,3.0,5.0
